mmsi,timestamp,lat,lon
565761000,2023-03-15 00:27:44+00,1.26878,103.75827
538008084,2023-03-19 23:30:00+00,43.55961952,10.29404048
564654000,2023-03-12 08:22:53+00,1.23725,103.89135
529123000,2023-03-05 16:47:42+00,29.44367,48.93066
564780000,2023-03-11 06:35:20+00,1.27755,103.61026
563014650,2023-03-05 16:30:00+00,1.2995263,103.9504508
563014650,2023-03-11 21:36:45+00,1.15557,103.7354
564654000,2023-03-20 16:26:40+00,1.23108,103.89189
563078430,2023-03-09 05:57:17+00,1.24562,103.87722
564654000,2023-03-20 22:46:44+00,1.21878,103.7964
564654000,2023-03-23 00:40:41+00,1.26516,103.88689
529123000,2023-03-05 15:33:49+00,29.32716,49.09333
564780000,2023-03-10 12:34:21+00,1.2627,103.89794
565761000,2023-03-07 19:01:21+00,1.16408,103.76326
564780000,2023-03-07 20:30:00+00,1.302853009,103.968487
529123000,2023-03-17 02:30:00+00,29.68033,48.81167
563078430,2023-03-11 05:47:59+00,1.22926,103.71129
565761000,2023-03-14 23:51:45+00,1.22861,103.7195
352656000,2023-03-05 13:30:00+00,8.852705484,-79.51686214
564654000,2023-03-07 06:01:48+00,1.27812,103.9218
564654000,2023-03-08 16:17:36+00,1.25888,103.77863
564654000,2023-03-21 00:04:09+00,1.26583,103.87515
564654000,2023-03-13 13:06:51+00,1.2362,103.81877
564654000,2023-03-18 05:52:38+00,1.2693,103.9097
352656000,2023-03-22 10:30:00+00,8.825558827,-79.5600066
538008064,2023-03-14 01:15:37+00,8.83,-79.538
529123000,2023-03-15 02:34:01+00,27.41517,51.55133
563014650,2023-03-13 20:30:00+00,1.30016764,103.9519876
564780000,2023-03-11 17:51:20+00,1.29005,103.92928
563014650,2023-03-14 11:41:04+00,1.30012,103.95055
564654000,2023-03-08 18:35:41+00,1.22218,103.88692
564654000,2023-03-08 12:50:24+00,1.27725,103.91123
564654000,2023-03-11 19:04:51+00,1.2571,103.8416
564654000,2023-03-11 04:23:36+00,1.23297,103.88947
563078430,2023-03-12 11:37:03+00,1.21153,103.86192
563014650,2023-03-16 04:50:23+00,1.23411,103.88167
564654000,2023-03-10 11:59:28+00,1.23243,103.86357
564780000,2024-01-05 10:35:19+00,1.294238333,103.9271983
538008084,2023-03-17 07:23:48+00,43.55964,10.29434
564654000,2023-03-09 04:35:20+00,1.23127,103.79157
565761000,2023-03-10 23:25:15+00,1.2336,103.71625
564654000,2023-03-04 18:38:59+00,1.25297,103.80298
538008064,2023-03-20 16:49:08+00,9.33867,-79.9185
563078430,2023-03-10 00:01:43+00,1.22445,103.70683
564654000,2023-03-22 04:16:21+00,1.2573,103.84177
564654000,2023-03-21 03:09:58+00,1.25643,103.85432
563078430,2023-03-18 12:52:26+00,1.29475,103.99596
563078430,2023-03-04 23:32:51+00,1.29837,104.01179
352656000,2024-01-05 10:35:57+00,8.823833333,-79.55463833
563014650,2023-03-06 02:30:00+00,1.288032125,103.7643008
564654000,2023-03-18 07:35:35+00,1.23525,103.90627
564654000,2023-03-16 13:30:00+00,1.231959701,103.8583933
529123000,2023-03-07 17:12:49+00,29.64267,48.86167
564654000,2023-03-19 19:00:45+00,1.23908,103.84126
565761000,2023-03-16 16:30:00+00,1.191463997,103.7302497
564654000,2023-03-17 03:15:52+00,1.23363,103.8322
564654000,2023-03-09 11:47:05+00,1.25648,103.95703
518998309,2023-03-19 17:52:53+00,29.07217,48.2055
563014650,2023-03-16 01:06:53+00,1.28367,103.99172
564654000,2023-03-06 23:39:52+00,1.21187,103.79955
564654000,2023-03-22 08:40:27+00,1.24478,103.85872
563014650,2023-03-05 23:17:05+00,1.27193,103.75539
563078430,2023-03-09 07:41:38+00,1.26429,103.74483
563014650,2023-03-09 20:12:24+00,1.30342,104.07375
564654000,2023-03-11 12:36:09+00,1.26258,103.8269
564654000,2023-03-11 00:56:39+00,1.25842,103.9611
565761000,2023-03-09 23:30:00+00,1.286995638,103.9356081
563014650,2023-03-05 20:10:14+00,1.29323,103.94483
564654000,2023-03-04 20:59:57+00,1.23238,103.8643
564780000,2023-03-19 21:30:00+00,1.29863,103.9756177
563078430,2023-03-04 23:23:30+00,1.29275,104.02962
564654000,2023-03-19 19:30:22+00,1.21269,103.80146
563014650,2023-03-14 01:30:00+00,1.300642327,103.9521375
564780000,2023-03-07 09:43:40+00,1.24597,103.78142
352656000,2023-03-16 04:40:31+00,8.81521,-79.55548
564654000,2023-03-08 10:45:13+00,1.23323,103.88217
563078430,2023-03-17 02:14:32+00,1.19242,103.74885
538008084,2023-03-17 15:30:00+00,43.55963,10.29403857
564780000,2023-03-10 12:31:20+00,1.26453,103.89939
529123000,2023-03-04 23:30:00+00,27.39795067,51.56530789
564654000,2023-03-10 11:52:59+00,1.25372,103.84772
564654000,2023-03-08 00:33:05+00,1.24407,103.8483
564654000,2023-03-23 02:04:25+00,1.20843,103.87693
875832716,2023-03-22 17:30:00+00,44.07387134,9.26583737
564654000,2023-03-08 21:02:41+00,1.29152,103.76077
565761000,2023-03-07 08:04:23+00,1.26518,103.88623
518998309,2023-03-18 22:28:53+00,30.42383,49.11333
518998309,2023-03-16 09:32:49+00,29.50048,49.72935
564654000,2023-03-14 10:09:59+00,1.2266,103.91128
564654000,2023-03-06 23:29:33+00,1.22958,103.79689
564654000,2023-03-21 10:42:55+00,1.25482,103.92642
564654000,2023-03-18 23:52:40+00,1.24877,103.88165
563014650,2023-03-11 03:30:00+00,1.29895628,103.9502133
563014650,2023-03-11 11:45:05+00,1.18961,103.79777
563014650,2023-03-17 06:07:44+00,1.27346,103.92905
563014650,2023-03-22 09:30:00+00,1.295578108,103.9371718
564780000,2023-03-20 11:30:00+00,1.301226055,103.9487632
563014650,2023-03-20 05:30:00+00,1.300036011,103.9565127
564654000,2023-03-12 08:04:01+00,1.23172,103.90023
563014650,2023-03-16 12:11:36+00,1.18269,103.78508
518998309,2023-03-21 01:32:29+00,28.908,48.79434
518998309,2023-03-21 18:30:00+00,29.68333,48.80817
564654000,2023-03-20 20:59:42+00,1.20613,103.79955
